,Player,Nation,Pos,Age,TotlMin,Games,sc_G,sc_A,sc_GA,CrdY,CrdR,xG,xAG,npxG+xAG,PrgC,PrgP,PrgR
192,Mason Mount,eng ENG,"MF,FW",24.0,14,5,1.0,0.0,1.0,2.0,0.0,0.4,0.3,0.7,9.0,21.0,34.0
193,Anthony Martial,fr FRA,FW,27.0,13,5,1.0,0.0,1.0,0.0,0.0,1.2,0.2,1.5,6.0,12.0,36.0
194,Sergio Reguilón,es ESP,DF,26.0,9,4,0.0,0.0,0.0,3.0,0.0,0.2,0.7,0.9,11.0,27.0,38.0
195,Amad Diallo,ci CIV,"FW,MF",21.0,9,3,1.0,1.0,2.0,1.0,0.0,0.5,1.1,1.6,11.0,10.0,31.0
196,Willy Kambwala,fr FRA,DF,18.0,8,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,1.0
197,Facundo Pellistri,uy URU,"FW,MF",21.0,9,1,0.0,1.0,1.0,0.0,0.0,0.7,0.1,0.8,6.0,6.0,31.0
198,Hannibal Mejbri,tn TUN,"MF,FW",20.0,5,1,1.0,0.0,1.0,1.0,0.0,0.0,0.4,0.4,2.0,6.0,10.0
199,Omari Forson,eng ENG,FW,19.0,4,1,0.0,1.0,1.0,0.0,0.0,0.0,0.2,0.2,1.0,2.0,2.0
200,Jadon Sancho,eng ENG,"FW,MF",23.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,10.0,4.0,5.0
201,Ethan Wheatley,eng ENG,FW,17.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
202,Donny van de Beek,nl NED,DF,26.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,1.0
203,Daniel Gore,eng ENG,MF,18.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,Ollie Watkins,eng ENG,FW,27.0,37,37,19.0,13.0,32.0,4.0,0.0,16.8,7.3,24.2,62.0,55.0,214.0
205,Ezri Konsa,eng ENG,DF,25.0,35,35,1.0,0.0,1.0,5.0,0.0,2.5,0.5,3.0,37.0,136.0,33.0
206,John McGinn,sct SCO,"MF,FW",28.0,35,35,6.0,4.0,10.0,9.0,1.0,5.0,4.6,9.6,59.0,189.0,84.0
207,Douglas Luiz,br BRA,MF,25.0,35,35,9.0,5.0,14.0,12.0,0.0,6.9,5.4,9.2,60.0,168.0,50.0
208,Emiliano Martínez,ar ARG,GK,30.0,34,34,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
209,Pau Torres,es ESP,DF,26.0,29,27,2.0,0.0,2.0,1.0,0.0,1.0,0.4,1.4,42.0,128.0,16.0
210,Lucas Digne,fr FRA,DF,30.0,33,27,1.0,3.0,4.0,7.0,0.0,1.1,4.1,5.2,42.0,77.0,200.0
211,Moussa Diaby,fr FRA,"FW,MF",24.0,38,25,6.0,8.0,14.0,1.0,0.0,7.0,6.6,13.6,94.0,72.0,183.0
212,Matty Cash,pl POL,DF,25.0,29,23,2.0,2.0,4.0,8.0,0.0,4.2,2.3,6.5,62.0,88.0,101.0
213,Leon Bailey,jm JAM,"MF,FW",25.0,35,22,10.0,9.0,19.0,5.0,0.0,6.3,9.2,15.5,102.0,82.0,226.0
214,Diego Carlos,br BRA,DF,30.0,27,20,0.0,0.0,0.0,4.0,0.0,1.9,0.1,2.0,4.0,59.0,1.0
215,Boubacar Kamara,fr FRA,MF,23.0,20,20,0.0,1.0,1.0,7.0,1.0,0.1,1.3,1.4,19.0,83.0,10.0
216,Youri Tielemans,be BEL,"MF,FW",26.0,32,17,2.0,6.0,8.0,3.0,0.0,1.3,2.6,3.9,23.0,128.0,46.0
217,Clément Lenglet,fr FRA,DF,28.0,14,14,0.0,1.0,1.0,3.0,0.0,0.9,0.8,1.6,26.0,51.0,1.0
218,Álex Moreno,es ESP,DF,30.0,21,11,2.0,0.0,2.0,2.0,0.0,1.1,1.1,2.3,32.0,24.0,83.0
